headline,date,section,type,source,text_snippet,full_text
A Strongman President? These Voters Crave It.,2024-01-14,Opinion,Politics,New York Times,Authoritarian leaders project qualities that many voters — not just Trump voters — admire.,Authoritarian leaders project qualities that many voters — not just Trump voters — admire.
The Election No One Seems to Want Is Coming Right at Us,2024-01-08,Opinion,Politics,New York Times,It’s 2024. Sorry.,It’s 2024. Sorry.
"Kamala Harris, Sharper and Lively, Begins to Make Her Case",2024-01-29,Opinion,Politics,New York Times,"Her skills are better, but can she revive the party?","Her skills are better, but can she revive the party?"
Transcript: Ezra Klein Interviews David French,2024-01-12,Opinion,Politics,New York Times,"The Jan. 12, 2023, episode of “The Ezra Klein Show.”","The Jan. 12, 2023, episode of “The Ezra Klein Show.”"
Biden Plans 2 Campaign Speeches to Underscore Contrasts With Trump,2024-01-03,U.S.,Politics,New York Times,"The president will speak at Valley Forge on the anniversary of the Jan. 6 Capitol riot, and later at a South Carolina church where a white supremacist killed nine people.","The president will speak at Valley Forge on the anniversary of the Jan. 6 Capitol riot, and later at a South Carolina church where a white supremacist killed nine people."
Biden Plans Speech Casting Election as a Fight for Democracy,2024-01-05,U.S.,Politics,New York Times,The president’s speech on Friday in the battleground state of Pennsylvania represents a bet that many Americans remain shaken by the Jan. 6 attack.,The president’s speech on Friday in the battleground state of Pennsylvania represents a bet that many Americans remain shaken by the Jan. 6 attack.
"In Las Vegas, Trump Turns His Focus Back to Biden",2024-01-27,U.S.,Politics,New York Times,"At a rally in Nevada, a key battleground state, Donald Trump sought to pivot to a general election message. A mile away, Vice President Kamala Harris framed the election as a battle for democracy.","At a rally in Nevada, a key battleground state, Donald Trump sought to pivot to a general election message. A mile away, Vice President Kamala Harris framed the election as a battle for democracy."
Biden Campaign Sharpens Its Post-Roe Message: Abortion Is About Freedom,2024-01-20,U.S.,Politics,New York Times,"In events next week, the president and vice president will argue that abortion access is crucial to personal freedoms, and warn of what is at stake if Donald J. Trump is re-elected.","In events next week, the president and vice president will argue that abortion access is crucial to personal freedoms, and warn of what is at stake if Donald J. Trump is re-elected."
Trump and Biden Get Ready for the Very Long Haul,2024-01-28,U.S.,Politics,New York Times,The 2024 general election campaign is set to be one of the longest in modern history. There will be no spring break.,The 2024 general election campaign is set to be one of the longest in modern history. There will be no spring break.
Is Trump Hell?,2024-01-06,Opinion,Politics,New York Times,"Trump portrays himself as Christlike, even as he bedevils America.","Trump portrays himself as Christlike, even as he bedevils America."
